tidsmerke;study_id;study_title;is_the_study_conducted_in_norway_and_or_is_it_a_systematic_review_with_global_european_or_fennoscandian_coverage;does_the_study_assess_land_use_or_land_use_change_effects_on_the_biodiversity_ecosystem_services_functions_or_carbon_sequestration_and_storage_in_terrestrial_aquatic_or_coastal_areas_are_include_i_e_studies_focusing_on_marine_systems_are_excluded;does_the_study_assess_conflicts_tools_or_governance_relating_to_land_use_and_cover_change_its_effects_on_biodiversity_ecosystem_services_and_or_carbon_sequestration_and_storage_by_ecosystems_in_fenno_scandinavia_the_relation_should_be_explicit_in_study_for_the_record_to_be_included;study_duration_start_year;study_duration_end_year;any_indicators_of_study_duration_if_the_start_year_and_end_year_are_not_obvious;open_data;open_code;preregistration_or_published_protocol;country;county_name_of_norwegian_county;norwegian_kommune;spatial_scale;ecosystem_type_main;research_type;type_of_summarised_evidence;study_design_observational_studies;data_gathering_methods;study_area_discipline;x23;core_impact_mechanism;is_the_eligible_outcome_measured_or_assumed_for_example_if_the_amount_of_deadwood_is_measured_as_an_index_of_biodiversity_this_is_an_example_of_an_assumed_measure_of_biodiversity_if_the_measure_is_assumed_then_provide_the_measured_outcome_under_the_other_if_measured_proceed_with_ticking_the_correct_ebv_boxes;genetic_composition;species_populations;species_traits;community_composition;ecosystem_functioning;ecosystem_structure;ecosystem_services;taxonomic_level;taxonomic_name;governce_tools;governance_level_using_the_tool;tool_characteristics;risk_of_bias_is_the_risk_of_bias_in_individual_studies_limitations_in_study_design_or_conduct_that_could_influence_the_reported_effect_size_and_direction_enough_to_influence_the_summarised_evidence;risk_of_bias_does_the_summarised_evidence_undertake_any_assessment_of_the_risk_of_bias;imprecision_how_varied_is_the_summarised_effect_and_has_this_variation_be_adequately_assessed;imprecision_is_the_sample_size_sufficient_to_make_an_unbiased_estimate_of_effect;inconsistency_do_studies_included_in_summarised_evidence_have_a_consistent_direction_and_size_of_effect_do_studies_95_percent_ci_overlap;indirectness_does_the_summarised_evidence_directly_assess_the_hypothesis_or_question_at_hand_or_does_it_make_use_of_proxy_outcomes;publication_bias_does_the_summarised_evidence_assess_publication_bias_through_some_formal_method;evidence_certainty;number_of_studies_assessed;high_quality_systematic_review;notes.x;empirical_focus_of_study;analytical_approach_of_study;sector_societal_concern;actors;accession_zr;source_type;language;author;address;title;source;volume;issue;start_page;abstract;keywords;doi;issn;conference_date;notes.y;year;Y3;source_abbreviated;url;publisher;rayyan_decisions;rayyan_labels;rayyan_exclusionreasons;finaldecision
2024-05-10T15:57:21Z;rayyan-656138346;The role of wild reindeer as a flagship species in new management models in Norway;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Innlandet, Agder;Dovre, Folldal, Alvdal, Sel, and Nord-Fron. Bykle, Valle, Sirdal, Bygland, and Kvinesdal;Regional (e.g., a County, a larger mountain area, a coastal region);Mountains;Observational studies;NA;NA;Surveys and questionnaires;Social Sciences;Protection;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Governance;Governance/management-oriented, Approach focused on perceptions/understanding;Local government and regional development, Climate and environment;Citizens;rayyan-656138346;JOUR;NA;"Kaltenborn, Bjørn P.; Andersen, Oddgeir; Gundersen, Vegard";NA;The role of wild reindeer as a flagship species in new management models in Norway;Norsk Geografisk Tidsskrift - Norwegian Journal of Geography;68;3;168-177;Wild reindeer are under pressure from human development projects throughout their habitat. Norway is currently making a significant move to establish a new management model based on national reindeer regions and regional management plans. A focus on wild reindeer as a flagship species allows the species to be included as a broad conservation objective in complex land-use plans. The authors surveyed a representative sample of residents in the Rondane and Setesdal regions to examine their perceptions of the current status of reindeer and how management relates to other social and development issues. Local actors and institutions, including hunters, were perceived as more responsible and suited to make decisions about reindeer population sizes and management objectives than non-local actors. There was little local consensus on the role of human impacts on wild reindeer, and residents rated local knowledge higher than scientific knowledge for management purposes. Rondane residents attached more importance to ...;Norway;10.1080/00291951.2014.904400;NA;NA;NA;2014;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-13T12:38:46Z;rayyan-674230925;Is there a generational shift in preferences for forest carbon sequestration vs. preservation of agricultural landscapes?;Yes;No;Yes;NA;NA;;Yes;Yes;No;Norway;NA;NA;National;Forest, Semi-natural ecosystems;Observational studies;NA;Before-After (BA);Surveys and questionnaires;Social Sciences;Energy production & mining: other;Indirect – changed human use (recreational etc).;Assumed;NA;NA;NA;NA;NA;NA;R&M - carbon storage and sequestration, Cultural;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;Value-oriented;Climate and environment;Citizens;rayyan-674230925;JOUR;English;Liu, X. and Lindhjem, H. and Grimsrud, K. and Leknes, E. and Tvinnereim, E.;"[""Institute of Marine Research, Postbox 1870 Nordnes, Bergen, 5817, Norway"", ""Menon Centre for Environmental and Resource Economics, Oslo, Norway"", ""Statistics Norway, Oslo, Norway"", ""Norwegian Research Centre (NORCE), Stavanger, Norway"", ""University of Bergen, Bergen, Norway""]";Is there a generational shift in preferences for forest carbon sequestration vs. preservation of agricultural landscapes?;Climatic Change;176;9;NA;Afforestation and reforestation are considered important measures for climate change mitigation. Because the land area available for tree planting may serve multiple purposes, striking the right balance between climate goals and other objectives is crucial. We conducted a survey of the Norwegian population to investigate potential land-use conflicts that may arise from executing a large-scale afforestation programme. Respondents were presented with three land-use alternatives to replace formerly grazed agricultural land. We used manipulated landscape photos to elicit their underlying value orientations. We combined multiple correspondence analysis with latent class regression models to reveal preference heterogeneity. Our models grouped respondents into three latent classes, with 24%, 24% and 52%, respectively, expressing a preference for forest carbon sequestration, recreation or agriculture as the most crucial land-use function to be retained. Birth year emerged as a strong predictor of class membership. Specifically, generations born before 1970 were more inclined to support the continuation of agricultural landscapes, while those born in 1980 and later showed a stronger inclination towards natural forest succession for carbon sequestration or recreational purposes. Quantitatively, every 10-year reduction in age increased the odds of a respondent belonging to the forestation or recreation class (relative to the agricultural class) by a factor of 2. Interestingly, even among respondents who were classified as most climate concerned, natural forests were 50% more likely to be preferred over monoculture spruce plantation as a policy option. This suggests that there may be public resistance to spruce planting for climate mitigation purposes in Norway. © 2023, The Author(s).;Carbon sequestration and Finite-mixture model and Land-use preferences and Latent class regression and Multiple correspondence analysis and Public perception and Norway and Carbon and Climate change and Reforestation and Regression analysis and Agricultural landscapes and Finite mixture modeling and Forest carbon sequestration and Land-use preference and Latent class and Natural forests and afforestation and age structure and carbon sequestration and climate change and correspondence analysis and forest cover and mitigation and monoculture and plantation and reforestation and succession and tree planting and Land use and Trees;10.1007/s10584-023-03588-z;01650009 (ISSN);NA;"Export Date: 29 January 2024; Cited By: 0; Correspondence Address: X. Liu; Institute of Marine Research, Bergen, Postbox 1870 Nordnes, 5817, Norway; email: xiaoziliu@yahoo.com; CODEN: CLCHD";2023;NA;Clim. Change;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168666285&doi=10.1007%2fs10584-023-03588-z&partnerID=40&md5=acf7c238cbd18443cec596faec699745;Springer Science and Business Media B.V.;NA;NA;NA;NA
2024-05-14T13:51:57Z;rayyan-674233497;Buffering Climate Change with Nature;Yes;No;Yes;NA;NA;;No;No;No;Norway;NA;NA;Multinational;Coastal, Rivers & lakes, Wetlands/peatlands, Forest, Mountains, Naturally open area under the tree-line, Semi-natural ecosystems, Urban ecosystems;Opinions;NA;NA;NA;Social Sciences;NA;Direct habitat removal, destruction or change, Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;Provisioning, Regulation & maintenance (R&M), R&M - carbon storage and sequestration, Cultural;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;Opinion piece about nature-climate crisis;Governance;Economy-oriented, Governance/management-oriented;NA;NA;rayyan-674233497;JOUR;English;Hessen, D.O. and Vandvik, V.;"[""Department of Biosciences, University of Oslo, Oslo, Norway"", ""Centre for Biogeochemistry in the Anthropocene, University of Oslo, Oslo, Norway"", ""Department of Biological Sciences, University of Bergen, Bergen, Norway"", ""Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway""]";Buffering Climate Change with Nature;Weather, Climate, and Society;14;2;439-450;It is increasingly evident that climate sustainability depends not only on societal actions and responses, but also on ecosystem functioning and responses. The capacity of global ecosystems to provide services such as sequestering carbon and regulating hydrology is being strongly reduced both by climate change itself and by unprecedented rates of ecosystem degradation. These services rely on functional aspects of ecosystems that are causally linked}the same ecosystem components that efficiently sequester and store carbon also regulate hydrology by sequestering and storing water. This means that climate change adaptation and mitigation must involve not only preparing for a future with temperature and precipitation anomalies, but also actively minimizing climate hazards and risks by conserving and managing ecosystems and their fundamental supporting and regulating ecosystem services. We summarize general climate-nature feedback processes relating to carbon and water cycling on a broad global scale before focusing on Norway to exemplify the crucial role of ecosystem regulatory services for both carbon sequestration and hydrological processes and the common neglect of this ecosystem-climate link in policy and landscape management. We argue that a key instrument for both climate change mitigation and adaptation policy is to take advantage of the climate buffering and regulative abilities of a well-functioning natural ecosystem. This will enable shared benefits to nature, climate, and human well-being. To meet the global climate and nature crises, we must capitalize on the importance of nature for buffering climate change effects, combat short-term perspectives and the discounting of future costs, and maintain or even strengthen whole-ecosystem functioning at the landscape level. © 2022 American Meteorological Society.;Carbon cycle and Climate change and Ecosystem effects and Feedback and Flood events and Norway and carbon cycle and carbon sequestration and climate change and ecosystem service and environmental effect and flood and global climate and landscape ecology and sustainability and Buffers;10.1175/WCAS-D-21-0059.1;19488327 (ISSN);NA;"Export Date: 29 January 2024; Cited By: 6; Correspondence Address: D.O. Hessen; Department of Biosciences, University of Oslo, Oslo, Norway; email: d.o.hessen@mn.uio.no";2022;NA;Weather Clim. Soc.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130296027&doi=10.1175%2fWCAS-D-21-0059.1&partnerID=40&md5=477e42fbae475bc1d8b26ac47ebbe1ec;American Meteorological Society;NA;NA;NA;NA
2024-05-14T14:57:55Z;rayyan-674263016;The eider conservation paradox in Tautra - a new contribution to the multidimensionality of the agricultural landscapes in Europe;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Trøndelag;Frosta;Local (e.g. a municipality or a part of a municipality);Coastal;Observational studies;NA;NA;Document Study;Mathematics and Natural Sciences;Agriculture & aquaculture: Agricultural production, Protection;Direct habitat removal, destruction or change, Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Regulatory;Local;Area-based;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;Governance/management-oriented;Climate and environment, Agriculture and food (bioeconomy);NA;rayyan-674263016;JOUR;English;Olsson, EGA and Thorvaldsen, P;Norwegian Univ Sci & Technol, Dept Biol, N-7491 Trondheim, Norway;The eider conservation paradox in Tautra - a new contribution to the multidimensionality of the agricultural landscapes in Europe;ENVIRONMENTAL SCIENCE & POLICY;9;4;343-349;The seabird Common eider (Somateria mollissima L.) is a characteristic and relatively common bird along the Scandinavian coasts. it has had a crucial economic importance for human coastal communities since prehistory as a source of animal protein, egg and down but this utilisation has ceased today. Due to continuous decline in eider populations in the island of Tautra off the Norwegian west coast from the late 1970s and onwards a number of conservation measures were implemented here to halt this development and the results are yet to be seen. This paper presents the conservation of declining eider populations in Tautra as a case study of conservation challenges in agricultural landscapes, and illustrates the complex interconnections of human use of biological resources and habitat shaping within the context of a subsistence agroecosystem. It contributes new data and perspectives on the challenge to conserve dimensions of biological diversity that have been shaped and developed within previous and lost agroecosystems and economic contexts. The current paper shows the hazard of focussing conservation measures on only one dimension of biodiversity without incorporating other dimensions like the human management of other habitats which had important functions for the development of habitats for the target biodiversity component in the pre-industrial agroecosystem. Successful biodiversity conservation in agricultural landscapes demands involvement of the historical aspect of resource use to understand the ecological dynamics of habitats and populations. Further, since the biodiversity and ecological dynamics of one habitat are interrelated to other habitats, it is necessary to include the landscape mosaic with different habitats in the conservation efforts and programmes. (C) 2006 Elsevier Ltd. All rights reserved.;biodiversity and conservation and agricultural landscapes and land use history and interconnectivity and landscape scale and MANAGEMENT and Europe;10.1016/j.envsci.2006.02.001     WE  - Science Citation Index Expanded (SCI-EXPANDED);1462-9011     J9  - ENVIRON SCI POLICY     JI  - Environ. Sci. Policy;6;Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  31;2006;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-14T15:29:16Z;rayyan-674260844;Synergy or marginalisation? Narratives of farming and tourism in Geiranger, western Norway;Yes;No;Yes;2007;2007;;NA;NA;NA;Norway;Møre og Romsdal;Stranda;Local (e.g. a municipality or a part of a municipality);Coastal;Observational studies;NA;NA;Interviews;Social Sciences;Residential & commercial development: Tourism & recreation areas (incl. Cabins), Agriculture & aquaculture: Agricultural production, Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Governance;Approach focused on perceptions/understanding;Local government and regional development, Climate and environment, Agriculture and food (bioeconomy);Businesses and business associations, Land-owners and land-owner organizations;rayyan-674260844;JOUR;English;Vik, ML and Benjaminsen, TA and Daugstad, K;"[""Western Norway Res Inst, NO-6851 Sogndal, Norway"", ""Norwegian Univ Life Sci, Dept Int Environm & Dev Studies Noragr, NO-1432 As, Norway"", ""Norwegian Univ Sci & Technol NTNU, Ctr Rural Res, NO-7491 Trondheim, Norway"", ""Norwegian Univ Sci & Technol NTNU, Dept Geog, NO-7491 Trondheim, Norway""]";Synergy or marginalisation? Narratives of farming and tourism in Geiranger, western Norway;NORSK GEOGRAFISK TIDSSKRIFT-NORWEGIAN JOURNAL OF GEOGRAPHY;64;1;36-47;Tourism is increasingly seen as a necessary income diversification strategy in rural Europe, especially in areas where traditional rural businesses are facing decreasing profitability. This view is clearly expressed in Norwegian government strategies. Measures to support tourism development are launched by public management bodies at national and regional level. For rural agrarian communities the cultural landscape is seen as an asset in developing tourism. The authors study the interplay between farming and tourism in Geiranger in western Norway using narrative and discourse analysis. Since the late 19th century, tourism and farming have co-existed in Geiranger. Recently, the area has also been subject to nature conservation and obtained World Heritage Status. Inspired by political ecology literature, the authors aim to identify and compare the narratives of local actors, and link these narratives to broader environmental discourses.;narratives and nature conservation and political ecology and tourism and world heritage and POLITICAL ECOLOGY and DIVERSIFICATION and SUSTAINABILITY and Norway;10.1080/00291950903557621     WE  - Social Science Citation Index (SSCI);"[""0029-1951"", ""1502-5292     J9  - NORSK GEOGR TIDSSKR     JI  - Norsk. Geogr. Tidsskr.-Nor. J. Geogr.""]";NA;Times Cited in Web of Science Core Collection:  9     Total Times Cited:  10     Cited Reference Count:  63;2010;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-14T15:43:23Z;rayyan-656138392;"Stakeholder involvement in adaptive goose management; case studies and experiences from Norway";Yes;No;Yes;2004;2012;;NA;NA;NA;Norway;Nordland, Trøndelag;Andøy, Bø, Hadsel, Sortland, Øksnes, Nord-Trøndelag;Regional (e.g., a County, a larger mountain area, a coastal region);Agricultural;Observational studies;NA;NA;Action research/participatory study;Mathematics and Natural Sciences;Agriculture & aquaculture: Agricultural production, Protection;Indirect – changed human use (recreational etc).;NA;NA;NA;NA;NA;NA;NA;NA;NA;Anser brachyrhynchus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Conflict;Governance/management-oriented, Participatory/deliberative/democratic approach;Climate and environment, Agriculture and food (bioeconomy);Environmental non-governmental organisations (ENGOs), Businesses and business associations, Land-owners and land-owner organizations, Other organizations;rayyan-656138392;JOUR;NA;"Tombre, Ingunn; Eythórsson, Einar; Madsen, Jesper";NA;"Stakeholder involvement in adaptive goose management; case studies and experiences from Norway";Ornis Norvegica;36;NA;17-24;Two Svalbard-breeding goose populations, the pink-footed goose Anser brachyrhynchus and the barnacle goose Branta leucopsis, have, over the last decades, increased in numbers and expanded in distribution. At spring- staging sites in Norway, conflicts with agriculture are significant as the geese feed on cultivated fields, with negative consequences for the farmers. In the present paper we give an overview of relevant stakeholders in these goose- agriculture conflicts and share some of our experiences when involving stakeholders and users in a dynamic and adaptive process. The paper demonstrates how researchers can engage in the management process at different levels, in order to facilitate a process towards an adaptive co-management in an environment of conflicting interests. The framework described may be used for threatened bird species and situations where there are conflicts between wildlife stakeholders such as management agencies, conservation interests, hunting and agriculture.;Norway;10.15845/on.v36i0.430;NA;NA;NA;2013;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-14T15:59:32Z;rayyan-674234078;Assessing visual preferences of the local public for environmental mitigation measures of hydropower impactsdoes point of view location make a difference?;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Trøndelag;Selbu and Tydal;Local (e.g. a municipality or a part of a municipality);Rivers & lakes;Observational studies;NA;Simulation/scenario;Surveys and questionnaires, Mixed Methods;NA;Energy production & mining: Hydropower;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;NA;Petroleum and energy;NA;rayyan-674234078;JOUR;English;Junker‐köhler, B. and Sundt, H.;"[""Norwegian Institute for Nature Research (NINA), Department Lillehammer, Lillehammer, 2624, Norway"", ""Department of Civil and Environmental Engineering, Norwegian University of Science and Technology, Trondheim, 7491, Norway""]";Assessing visual preferences of the local public for environmental mitigation measures of hydropower impacts—does point‐of‐view location make a difference?;Water (Switzerland);13;21;NA;Hydropower is a highly appreciated climate-friendly source of energy production. However, it has non-negligible negative impacts on the environment and landscape aesthetics where the energy is produced, affecting the recreational interests of the public using the respective local river spaces. The preferences of the local public are increasingly assessed and involved in the planning of mitigation measures for impacted rivers. Aesthetic assessment methods using a common user perspective, i.e., an “on-the-ground” perspective, could potentially be improved by using an aerial perspective facilitated by modern drone technology. Studies on the compatibility of these two perspectives of assessment in terms of public preference elicitation are lacking so far. In river Nea, Norway, we conducted a quantitative analysis of the visual preferences of the local public for different environmental mitigation measures related to weirs, minimum flow, and recreational infrastructure using both perspectives. The results indicate that there exist significant differences in the preferences for scenarios based on the two different visual perspectives, and that a compatibility between them cannot be assumed and therefore requires further investigation. Finally, based on our study setup and previous experience, we outline and propose a standardized procedure for the visualization of mitigation measures as an input to environmental design projects where public perception is incorporated;Aesthetic value and Hydropower production and Mitigation measures and Photo‐based questionnaire and Norway and Antennas and Hydroelectric power and Hydroelectric power plants and Energy productions and Environmental mitigation and Hydro power production and Impact on the environment and Sources of energy and View locations and assessment method and environmental planning and hydroelectric power and infrastructure planning and mitigation and perception and visual analysis and Rivers;10.3390/w13212985;20734441 (ISSN);NA;"Export Date: 29 January 2024; Cited By: 0; Correspondence Address: B. Junker‐Köhler; Norwegian Institute for Nature Research (NINA), Department Lillehammer, Lillehammer, 2624, Norway; email: berit.kohler@nina.no | RAYYAN-INCLUSION: {""Matthew""=>""Included""} | RAYYAN-LABELS: Social Science";2021;NA;Water;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117789187&doi=10.3390%2fw13212985&partnerID=40&md5=a38ad1075cf645cfb5bb3b316848f583;MDPI;" {""Matthew""=>""Included""} "; Social Science;NA;NA
2024-05-16T13:38:59Z;rayyan-674264397;Economic analysis of timber management practices promoting preservation of biological diversity;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway;Innlandet;NA;Regional (e.g., a County, a larger mountain area, a coastal region);Forest;model;NA;modelling/scenario;NA;economic;Biological resource use: forestry;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;scenario modelling/simulation;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Tools;Economy-oriented;Trade, industry and fisheries (bioeconomy);NA;rayyan-674264397;JOUR;English;Naesset, E and Gobakken, T and Hoen, HF;NA;Economic analysis of timber management practices promoting preservation of biological diversity;SCANDINAVIAN JOURNAL OF FOREST RESEARCH;12;3;264-272;The effects, in terms of economic value and harvest potential, of adopting restricted timber management practices promoting the preservation of biodiversity are analysed in a 5620 ha boreal forest landscape in southeast Norway. A forest management model based on ecological principles aiming at preservation of biodiversity, e.g. by adopting restricted silvicultural treatments imitating the effects of natural processes, such as forest fires, is applied. The forest area is divided into four separate classes reflecting the probabilities of forest fires, and different treatment options are assigned to each of the classes. These options comprise extended rotation periods and treatments such as clear-cutting with retention of seed trees and shelterwood cutting. A management problem specified as maximization of net present value subject to a requirement to preserve (medium term) about 10% of the forest area for a period of 70 yrs is solved by means of linear programming. Compared with current timber management practices, the net present value of the restricted management problem is reduced by 14% (15%) for a real rate of discount of 3% (4%) pro anno. The annual harvest flow is reduced by 11-33%. For a management problem comprising even-flow harvesting constraints in addition to biodiversity constraints, the net present value is reduced by 16% (19%). PU - SCANDINAVIAN UNIVERSITY PRESS PI - OSLO PA - PO BOX 2959 TOYEN, JOURNAL DIVISION CUSTOMER SERVICE, N-0608 OSLO, NORWAY;biodiversity and GIS and linear programming and strategic planning and treatment schedule simulation and DECISION-SUPPORT SYSTEM and ECOSYSTEM MANAGEMENT and SHORT-TERM and FOREST and CONSTRAINTS and PLANS;10.1080/02827589709355409     WE  - Science Citation Index Expanded (SCI-EXPANDED);0282-7581     J9  - SCAND J FOREST RES     JI  - Scand. J. Forest Res.;NA;Times Cited in Web of Science Core Collection:  10     Total Times Cited:  11     Cited Reference Count:  36;1997;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-16T13:53:23Z;rayyan-674269253;Economic impacts impacts of setting reference levels for the forest carbon sinks in the EU on the European forest sector;Yes;No;Yes;NA;NA;;NA;NA;NA;Norway, EU;NA;NA;National;Forest;Conceptual work / scenarios;NA;NA;NA;Mathematics and Natural Sciences;Biological resource use: forestry;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;rayyan-674269253;JOUR;English;Kallio, AMI and Solberg, B and Käär, L and Päivinen, R;"[""Nat Resources Inst Finland, Dept Bioecon & Environm, Helsinki, Finland"", ""Norwegian Univ Life Sci, As, Norway"", ""Tapio Ltd, Helsinki, Finland""]";Economic impacts impacts of setting reference levels for the forest carbon sinks in the EU on the European forest sector;FOREST POLICY AND ECONOMICS;92;NA;193-201;In order to meet the requirements of the Paris climate agreement, the EU plans to set new goals for forest carbon sinks. This may affect the future development potential in the wood using sectors in Europe and their contribution in the new circular bio-economy. We explore the potential consequences mainly on the forest sector in the region consisting of EU and Norway (EU + N), but also globally, that would arise if the countries in the EU + N constrained economic utilization of their forest resources. For the analysis, we use the global forest sector model EFI-GTM, which also incorporates the trade in wood and wood products. Due to the globally growing demand for forest products and available forest resources in the rest of the world (RoW) outside of the EU + N, the leakages of harvests, forest industry production and employment opportunities from EU + N to RoW would be considerable. Decreased wood harvests and forest industry production in the EU + N would raise the wood and forest industry product prices globally, and increase production and employment in the forest sector in RoW. Due to the harvest leakage, climate mitigation benefits of the policy in the form of forest carbon sinks in the EU + N would be considerably reduced. Also, there would be inter-sectoral carbon leakage, as part of the wood consumption would shift to more energy-demanding competing materials.;Forest sector and Harvest leakage and Carbon sink and Climate policy and Modelling and LEAKAGE and INDUSTRY and BIOMASS and Trees;10.1016/j.forpol.2018.04.010     WE  - Science Citation Index Expanded (SCI-EXPANDED);"[""1389-9341"", ""1872-7050     J9  - FOREST POLICY ECON     JI  - Forest Policy Econ.""]";7;Times Cited in Web of Science Core Collection:  45     Total Times Cited:  46     Cited Reference Count:  35;2018;NA;NA;NA;NA;NA;NA;NA;NA
2024-05-16T15:18:27Z;rayyan-674262833;Ecosystem-based management in Canada and Norway: The importance of political leadership and effective decision-making for implementation;Yes;No;Yes;2017;2017;;NA;NA;NA;Norway, Canada;Barentshavet;NA;Regional (e.g., a County, a larger mountain area, a coastal region);Coastal, Marine;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Process focused;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;Governance, Tools;Governance/management-oriented;Local government and regional development;Governing bodies;rayyan-674262833;JOUR;English;Sander, G;UiT Arctic Univ Norway, Norwegian Coll Fishery Sci, N-9037 Tromso, Norway;Ecosystem-based management in Canada and Norway: The importance of political leadership and effective decision-making for implementation;OCEAN & COASTAL MANAGEMENT;163;NA;485-497;"A comparison of a Norwegian and two Canadian management plans reveals that most of the measures in the Norwegian plan were put into practice, whereas the Canadian plans did not result in the implementation of any new measures. This paper applies implementation theory to explain the different results. First, there is a striking difference in the leadership of the two governments and the way they organized for the planning. The Norwegian government led the process in a top-down manner and tried to apply a ""whole-of-government"" approach. The Canadian government delegated the entire task to the regional branches of one ministry alone. The different roles taken may be explained by different political and economic contexts that create different motivations for the governments to engage. Second, there were different ways of deciding when conflicts arose. The Norwegian coalition government negotiated internal compromises in the form of package deals. In Canada, the collaborative planning based on consensus concealed disagreements in high-level statements and pushed concrete solutions forward to later action planning that never occurred. These processes reflect different national policy styles and resulted in policy designs that created a very different impetus for implementation. The analysis demonstrate how theory-driven case-study methodology can lead to cumulative results.";INTEGRATED OCEAN MANAGEMENT and SCOTIAN SHELF and POLICY and COASTAL and LESSONS and INITIATIVES and GOVERNANCE and EAST and Decision Making and Canada and Norway and Ecosystem;10.1016/j.ocecoaman.2018.08.005     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI);"[""0964-5691"", ""1873-524X     J9  - OCEAN COAST MANAGE     JI  - Ocean Coastal Manage.""]";9;"Times Cited in Web of Science Core Collection:  21     Total Times Cited:  21     Cited Reference Count:  71 | RAYYAN-INCLUSION: {""Matthew""=>""Included""} | RAYYAN-LABELS: Social Science";2018;1;NA;NA;NA;" {""Matthew""=>""Included""} "; Social Science;NA;NA
